,date,ndvi,gndvi,no2,soil_moisture,soil_temp
0,2019-03-05,0.036183038360216,0.0165878787954077,6.12631867563446e-05,0.3055102030436198,28.67739830017092
1,2019-03-05,0.1061454791599831,0.0659328604425554,6.12631867563446e-05,0.3055102030436198,28.67739830017092
2,2019-03-10,0.1761079199597502,0.1152778420897032,8.597146112275078e-05,0.3438212076822917,28.119995371500693
3,2019-03-10,0.1206223458710652,0.0476838498516079,8.597146112275078e-05,0.3438212076822917,28.119995371500693
4,2019-03-15,0.4031526055194152,0.3856998813519007,6.524364994242864e-05,0.3282934824625651,28.81110534667971
5,2019-03-15,0.3904837392760462,0.3727475747802979,6.524364994242864e-05,0.3282934824625651,28.81110534667971
6,2019-03-20,0.4470325370278949,0.406378411466008,7.168890829841053e-05,0.2859986623128255,29.11444943745932
7,2019-03-20,0.4164621488685628,0.3591879838228048,7.168890829841053e-05,0.2859986623128255,29.11444943745932
8,2019-03-25,0.5669525475375737,0.4959652695082098,6.432683738275434e-05,0.3849156697591145,28.29363657633468
9,2019-03-25,0.5417909899499027,0.4693569322509821,6.432683738275434e-05,0.3849156697591145,28.29363657633468
10,2019-03-30,0.5057312060185135,0.4236764159255322,5.355703948057531e-05,0.3048197428385417,29.19177462259933
11,2019-03-30,0.4504571085452847,0.3602137178964562,5.355703948057531e-05,0.3048197428385417,29.19177462259933
12,2019-04-04,0.6718136236578874,0.5658575979391033,5.486572359504727e-05,0.4163468678792317,28.12002716064456
13,2019-04-04,0.6669747872830843,0.5599379769511461,5.486572359504727e-05,0.4163468678792317,28.12002716064456
14,2019-04-09,0.5977862413403024,0.5031847903276536,7.167041899293251e-05,0.3585758209228515,28.59709383646652
15,2019-04-09,0.5285976953975206,0.4464316037041612,7.167041899293251e-05,0.3585758209228515,28.59709383646652
16,2019-04-14,0.4594091494547387,0.3896784170806688,7.445528278334636e-05,0.3968270619710286,28.25179888407393
17,2019-04-14,0.4086813956085297,0.3385498551097677,7.445528278334636e-05,0.3968270619710286,28.25179888407393
18,2019-04-19,0.5825949902665375,0.4950327863351099,7.335665741359045e-05,0.3755594889322917,28.910256958007835
19,2019-04-19,0.5737184551446619,0.4810017012828128,7.335665741359045e-05,0.3755594889322917,28.910256958007835
20,2019-04-24,0.6154618842267325,0.5218960174819495,5.2249640529391226e-05,0.4191570281982422,28.53914604187014
21,2019-04-24,0.6572053133088032,0.5627903336810862,5.2249640529391226e-05,0.4191570281982422,28.53914604187014
22,2019-04-29,0.6989487423908738,0.603684649880223,4.475683208732083e-05,0.364993413289388,29.19987258911135
23,2019-04-29,0.7026131270664414,0.606499142562613,4.475683208732083e-05,0.364993413289388,29.19987258911135
24,2019-05-04,0.7713808767564335,0.6780807248596509,5.1611500986087126e-05,0.3836962381998698,28.79682884216311
25,2019-05-04,0.778312682736452,0.6840393899151759,5.1611500986087126e-05,0.3836962381998698,28.79682884216311
26,2019-05-09,0.7608302355717185,0.6663312626287397,3.954540853286262e-05,0.3721911112467448,27.963482793172204
27,2019-05-09,0.7433477884069848,0.6486231353423033,3.954540853286262e-05,0.3721911112467448,27.963482793172204
28,2019-05-14,0.7258653412422512,0.6309150080558671,6.885400612950397e-05,0.3808911641438802,28.546461359659872
29,2019-05-14,0.7307789336653958,0.6349773284411079,6.885400612950397e-05,0.3808911641438802,28.546461359659872
30,2019-05-19,0.6650684742641595,0.5756118723895127,6.136896355202936e-05,0.3772322336832682,28.23248697916671
31,2019-05-19,0.5993580148629231,0.5162464163379177,6.136896355202936e-05,0.3772322336832682,28.23248697916671
32,2019-05-24,0.5336475554616867,0.4568809602863225,8.94238269814165e-05,0.4080187479654948,28.30096143086752
33,2019-05-24,0.5247993220378696,0.447354567236988,8.94238269814165e-05,0.4080187479654948,28.30096143086752
34,2019-09-06,0.3284064839278389,0.3320019709799636,4.951508623778699e-05,0.2140541076660156,30.20932540893557
35,2019-09-06,0.3033910938872425,0.2933132960094988,4.951508623778699e-05,0.2140541076660156,30.20932540893557
36,2019-09-11,0.1405337999909253,0.0549681270571658,0.0001309963841688,0.216714859008789,30.09283790588381
37,2019-09-11,0.0975241445081682,0.0052462177599873,0.0001309963841688,0.216714859008789,30.09283790588381
38,2019-09-16,0.1456090905440667,0.0543418708316364,7.861098060727052e-05,0.2190914154052734,28.991042073567712
39,2019-09-16,0.1936940365799652,0.1034375239032855,7.861098060727052e-05,0.2190914154052734,28.991042073567712
40,2019-09-21,0.2417789826158638,0.1525331769749347,6.352201752187275e-05,0.2545121510823567,29.41181081136068
