system:index,date,soil_temp,.geo
20210905,2021-09-05,27.30938555399581,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210906,2021-09-06,27.711534118652366,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210907,2021-09-07,27.74950243632003,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210908,2021-09-08,27.849919255574548,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210909,2021-09-09,27.10713666280111,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210910,2021-09-10,27.582669194539392,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210911,2021-09-11,27.745042419433616,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210912,2021-09-12,27.77641067504885,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210913,2021-09-13,26.937396621704124,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210914,2021-09-14,27.679321543375693,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210915,2021-09-15,27.862585322062216,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210916,2021-09-16,28.141091918945335,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210917,2021-09-17,28.456956481933616,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210918,2021-09-18,27.176564788818382,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210919,2021-09-19,26.550871785481775,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210920,2021-09-20,26.858965810139978,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210921,2021-09-21,28.195970789591513,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210922,2021-09-22,27.78103917439779,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210923,2021-09-23,28.157446797688806,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210924,2021-09-24,28.14078610738119,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210925,2021-09-25,28.381138737996423,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210926,2021-09-26,28.055717086792015,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210927,2021-09-27,27.042029953002952,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210928,2021-09-28,27.297416305542015,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210929,2021-09-29,27.243121083577478,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210930,2021-09-30,26.6816338857015,"{""type"":""MultiPoint"",""coordinates"":[]}"
20211001,2021-10-01,26.879972712198935,"{""type"":""MultiPoint"",""coordinates"":[]}"
20211002,2021-10-02,26.57266451517745,"{""type"":""MultiPoint"",""coordinates"":[]}"
20211003,2021-10-03,28.022630945841513,"{""type"":""MultiPoint"",""coordinates"":[]}"
20211004,2021-10-04,27.973877207438193,"{""type"":""MultiPoint"",""coordinates"":[]}"
20211005,2021-10-05,27.100848134358728,"{""type"":""MultiPoint"",""coordinates"":[]}"
20211006,2021-10-06,27.24391644795736,"{""type"":""MultiPoint"",""coordinates"":[]}"
20211007,2021-10-07,27.025081888834677,"{""type"":""MultiPoint"",""coordinates"":[]}"
20211008,2021-10-08,28.161207453409872,"{""type"":""MultiPoint"",""coordinates"":[]}"
20211009,2021-10-09,28.60379880269369,"{""type"":""MultiPoint"",""coordinates"":[]}"
20211010,2021-10-10,28.795014317830407,"{""type"":""MultiPoint"",""coordinates"":[]}"
20211011,2021-10-11,27.863040542602562,"{""type"":""MultiPoint"",""coordinates"":[]}"
20211012,2021-10-12,28.742853418986044,"{""type"":""MultiPoint"",""coordinates"":[]}"
20211013,2021-10-13,28.720018005371116,"{""type"":""MultiPoint"",""coordinates"":[]}"
20211014,2021-10-14,28.734050369262718,"{""type"":""MultiPoint"",""coordinates"":[]}"
20211015,2021-10-15,28.592743174235068,"{""type"":""MultiPoint"",""coordinates"":[]}"
20211016,2021-10-16,28.761091486612997,"{""type"":""MultiPoint"",""coordinates"":[]}"
20211017,2021-10-17,28.466446177164755,"{""type"":""MultiPoint"",""coordinates"":[]}"
20211018,2021-10-18,27.811685816446982,"{""type"":""MultiPoint"",""coordinates"":[]}"
20211019,2021-10-19,27.60666936238607,"{""type"":""MultiPoint"",""coordinates"":[]}"
20211020,2021-10-20,26.449690119425497,"{""type"":""MultiPoint"",""coordinates"":[]}"
20211021,2021-10-21,26.61331392923995,"{""type"":""MultiPoint"",""coordinates"":[]}"
20211022,2021-10-22,27.388950602213583,"{""type"":""MultiPoint"",""coordinates"":[]}"
20211023,2021-10-23,27.49504750569662,"{""type"":""MultiPoint"",""coordinates"":[]}"
20211024,2021-10-24,27.57570927937826,"{""type"":""MultiPoint"",""coordinates"":[]}"
20211025,2021-10-25,27.53838691711428,"{""type"":""MultiPoint"",""coordinates"":[]}"
20211026,2021-10-26,28.12203496297201,"{""type"":""MultiPoint"",""coordinates"":[]}"
20211027,2021-10-27,27.45709063212081,"{""type"":""MultiPoint"",""coordinates"":[]}"
20211028,2021-10-28,28.305494562784872,"{""type"":""MultiPoint"",""coordinates"":[]}"
20211029,2021-10-29,27.6362237294515,"{""type"":""MultiPoint"",""coordinates"":[]}"
20211030,2021-10-30,27.888695653279626,"{""type"":""MultiPoint"",""coordinates"":[]}"
20211031,2021-10-31,26.98780975341799,"{""type"":""MultiPoint"",""coordinates"":[]}"
20211101,2021-11-01,27.981657282511435,"{""type"":""MultiPoint"",""coordinates"":[]}"
20211102,2021-11-02,27.532793935139978,"{""type"":""MultiPoint"",""coordinates"":[]}"
20211103,2021-11-03,26.58345184326174,"{""type"":""MultiPoint"",""coordinates"":[]}"
20211104,2021-11-04,27.28103408813479,"{""type"":""MultiPoint"",""coordinates"":[]}"
20211105,2021-11-05,27.629274622599326,"{""type"":""MultiPoint"",""coordinates"":[]}"
20211106,2021-11-06,27.648723220825218,"{""type"":""MultiPoint"",""coordinates"":[]}"
20211107,2021-11-07,27.787780380249046,"{""type"":""MultiPoint"",""coordinates"":[]}"
20211108,2021-11-08,27.76897265116378,"{""type"":""MultiPoint"",""coordinates"":[]}"
20211109,2021-11-09,28.089615758260095,"{""type"":""MultiPoint"",""coordinates"":[]}"
20211110,2021-11-10,26.711897786458337,"{""type"":""MultiPoint"",""coordinates"":[]}"
20211111,2021-11-11,26.329810714721702,"{""type"":""MultiPoint"",""coordinates"":[]}"
20211112,2021-11-12,26.634120559692406,"{""type"":""MultiPoint"",""coordinates"":[]}"
20211113,2021-11-13,26.603260930379236,"{""type"":""MultiPoint"",""coordinates"":[]}"
20211114,2021-11-14,27.128643290201865,"{""type"":""MultiPoint"",""coordinates"":[]}"
20211115,2021-11-15,27.834534581502282,"{""type"":""MultiPoint"",""coordinates"":[]}"
20211116,2021-11-16,27.73620185852053,"{""type"":""MultiPoint"",""coordinates"":[]}"
20211117,2021-11-17,26.682468032836937,"{""type"":""MultiPoint"",""coordinates"":[]}"
20211118,2021-11-18,26.750010426839196,"{""type"":""MultiPoint"",""coordinates"":[]}"
20211119,2021-11-19,27.63558731079104,"{""type"":""MultiPoint"",""coordinates"":[]}"
20211120,2021-11-20,27.17815297444662,"{""type"":""MultiPoint"",""coordinates"":[]}"
20211121,2021-11-21,26.866635258992517,"{""type"":""MultiPoint"",""coordinates"":[]}"
20211122,2021-11-22,26.43670234680178,"{""type"":""MultiPoint"",""coordinates"":[]}"
20211123,2021-11-23,26.874204254150413,"{""type"":""MultiPoint"",""coordinates"":[]}"
20211124,2021-11-24,27.02227617899581,"{""type"":""MultiPoint"",""coordinates"":[]}"
