date,soil_temp
2019-03-05,28.67739830017092
2019-03-06,28.97203661600753
2019-03-07,29.022067642211937
2019-03-08,28.82013854980471
2019-03-09,28.77600250244143
2019-03-10,28.119995371500693
2019-03-11,28.15262692769369
2019-03-12,28.577177937825525
2019-03-13,28.652792867024743
2019-03-14,28.56000162760421
2019-03-15,28.81110534667971
2019-03-16,28.933986918131552
2019-03-17,29.51118176778158
2019-03-18,29.453819529215536
2019-03-19,29.68140818277999
2019-03-20,29.114449437459317
2019-03-21,28.373919423421228
2019-03-22,28.940267817179404
2019-03-23,28.94669685363772
2019-03-24,28.889799372355185
2019-03-25,28.29363657633468
2019-03-26,28.59372482299807
2019-03-27,28.22778155008956
2019-03-28,28.477866109212243
2019-03-29,28.68124351501467
2019-03-30,29.19177462259933
2019-03-31,28.891004180908222
2019-04-01,27.48393847147628
2019-04-02,27.79349797566732
2019-04-03,27.11823298136397
2019-04-04,28.120027160644558
2019-04-05,27.73135973612472
2019-04-06,28.44110387166341
2019-04-07,28.689004516601585
2019-04-08,28.74422734578451
2019-04-09,28.597093836466517
2019-04-10,28.56593093872073
2019-04-11,28.814680353800497
2019-04-12,28.39458173116049
2019-04-13,28.70936228434249
2019-04-14,28.25179888407393
2019-04-15,28.58064231872561
2019-04-16,28.416129684448265
2019-04-17,28.5679921468099
2019-04-18,28.71379750569662
2019-04-19,28.910256958007835
2019-04-20,28.348214085896814
2019-04-21,28.33258399963381
2019-04-22,28.493405914306663
2019-04-23,28.45394795735677
2019-04-24,28.53914604187014
2019-04-25,28.556600189209007
2019-04-26,28.505219395955407
2019-04-27,27.762130355834984
2019-04-28,28.64445584615072
2019-04-29,29.19987258911135
2019-04-30,27.644925053914392
2019-05-01,27.97330373128256
2019-05-02,29.15092239379885
2019-05-03,29.50635681152346
2019-05-04,28.79682884216311
2019-05-05,28.36543744405111
2019-05-06,28.434062576293968
2019-05-07,28.646916325887048
2019-05-08,28.18306376139327
2019-05-09,27.963482793172204
2019-05-10,28.342017745971702
2019-05-11,28.903534189860068
2019-05-12,28.707182820638025
2019-05-13,28.508397038777677
2019-05-14,28.546461359659872
2019-05-15,27.91663195292159
2019-05-16,27.94824879964193
2019-05-17,28.08194821675619
2019-05-18,28.57572708129885
2019-05-19,28.23248697916671
2019-05-20,28.262636439005576
2019-05-21,28.1665976206462
2019-05-22,27.669789886474632
2019-05-23,27.77420260111495
2019-05-24,28.30096143086752
2019-09-05,29.76399192810061
2019-09-06,30.20932540893557
2019-09-07,30.586447016398157
2019-09-08,30.382008488972986
2019-09-09,29.391999816894558
2019-09-10,29.61433118184408
2019-09-11,30.09283790588381
2019-09-12,29.87380498250326
2019-09-13,29.838131205240927
2019-09-14,28.79880676269533
2019-09-15,29.705960210164392
2019-09-16,28.991042073567712
2019-09-17,29.789250310262048
2019-09-18,29.414691543579124
2019-09-19,28.75014775594076
2019-09-20,28.611747360229515
2019-09-21,29.41181081136068
2019-09-22,30.19610748291018
2019-09-23,30.54255638122561
2019-09-24,30.0101085662842
2019-09-25,28.38656069437667
2019-09-26,28.31981430053713
2019-09-27,28.19136199951174
2019-09-28,28.234493509928427
2019-09-29,27.316955820719443
2019-09-30,27.21979166666671
2019-10-01,28.048804855346702
2019-10-02,28.06183522542318
2019-10-03,27.73394927978518
2019-10-04,27.970443344116237
2019-10-05,27.503380076090536
2019-10-06,27.59402173360189
2019-10-07,27.60391197204592
2019-10-08,27.48528378804525
2019-10-09,27.4619028727214
2019-10-10,27.841693496704124
2019-10-11,27.635372416178427
2019-10-12,27.49163144429525
2019-10-13,27.124362564086937
2019-10-14,27.63620274861654
2019-10-15,27.748153305053734
2019-10-16,27.96354446411135
2019-10-17,27.44941991170248
2019-10-18,26.62801068623861
2019-10-19,27.509495671590173
2019-10-20,27.536435063680017
2019-10-21,27.19226608276369
2019-10-22,27.386437352498376
2019-10-23,26.95559844970705
2019-10-24,27.70999361673995
2019-10-25,27.202599461873376
2019-10-26,27.136003748575888
2019-10-27,27.013838068644247
2019-10-28,26.46933263142904
2019-10-29,27.00117136637374
2019-10-30,27.03103281656905
2019-10-31,27.14233741760256
2019-11-01,27.28145179748537
2019-11-02,26.88608322143557
2019-11-03,27.245830154418968
2019-11-04,27.492980575561543
2019-11-05,27.847596104939782
2019-11-06,27.591465250651083
2019-11-07,27.379831568400107
2019-11-08,26.71258443196615
2019-11-09,27.139433161417685
2019-11-10,27.191463724772177
2019-11-11,26.71125755310061
2019-11-12,27.061661020914755
2019-11-13,27.599550501505576
2019-11-14,27.207286453247093
2019-11-15,26.282492574055997
2019-11-16,27.208296712239587
2019-11-17,27.44198506673177
2019-11-18,27.27976506551107
2019-11-19,27.12718671162924
2019-11-20,27.21985778808596
2019-11-21,27.73263829549154
2019-11-22,26.94346644083663
2019-11-23,27.175462977091517
2019-11-24,26.94207661946615
2020-03-05,28.562319691975915
2020-03-06,28.350784556071005
2020-03-07,27.517055130004906
2020-03-08,28.996359125773157
2020-03-09,29.45768381754561
2020-03-10,30.001643117268884
2020-03-11,28.778583145141624
2020-03-12,29.365279769897484
2020-03-13,29.339901224772177
2020-03-14,29.51339492797854
2020-03-15,29.468448257446312
2020-03-16,29.69172821044924
2020-03-17,29.450765228271507
2020-03-18,29.089756266276083
2020-03-19,28.221798833211267
2020-03-20,28.83141924540206
2020-03-21,28.76548792521163
2020-03-22,28.35255393981936
2020-03-23,28.05795122782393
2020-03-24,28.002862548828148
2020-03-25,28.74846674601241
2020-03-26,29.04612248738607
2020-03-27,29.03844286600753
2020-03-28,29.22997627258303
