system:index,date,soil_temp,.geo
20190905,2019-09-05,29.76399192810061,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190906,2019-09-06,30.20932540893557,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190907,2019-09-07,30.586447016398154,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190908,2019-09-08,30.382008488972986,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190909,2019-09-09,29.391999816894554,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190910,2019-09-10,29.61433118184408,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190911,2019-09-11,30.092837905883812,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190912,2019-09-12,29.87380498250326,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190913,2019-09-13,29.838131205240927,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190914,2019-09-14,28.798806762695335,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190915,2019-09-15,29.705960210164392,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190916,2019-09-16,28.991042073567712,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190917,2019-09-17,29.789250310262048,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190918,2019-09-18,29.414691543579124,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190919,2019-09-19,28.75014775594076,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190920,2019-09-20,28.611747360229515,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190921,2019-09-21,29.41181081136068,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190922,2019-09-22,30.19610748291018,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190923,2019-09-23,30.54255638122561,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190924,2019-09-24,30.010108566284202,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190925,2019-09-25,28.38656069437667,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190926,2019-09-26,28.319814300537132,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190927,2019-09-27,28.19136199951174,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190928,2019-09-28,28.234493509928427,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190929,2019-09-29,27.316955820719443,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190930,2019-09-30,27.21979166666671,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191001,2019-10-01,28.048804855346702,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191002,2019-10-02,28.06183522542318,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191003,2019-10-03,27.73394927978518,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191004,2019-10-04,27.970443344116234,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191005,2019-10-05,27.503380076090536,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191006,2019-10-06,27.594021733601892,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191007,2019-10-07,27.60391197204592,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191008,2019-10-08,27.48528378804525,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191009,2019-10-09,27.461902872721396,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191010,2019-10-10,27.841693496704124,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191011,2019-10-11,27.635372416178427,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191012,2019-10-12,27.49163144429525,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191013,2019-10-13,27.124362564086937,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191014,2019-10-14,27.63620274861654,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191015,2019-10-15,27.748153305053734,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191016,2019-10-16,27.96354446411135,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191017,2019-10-17,27.449419911702478,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191018,2019-10-18,26.62801068623861,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191019,2019-10-19,27.509495671590173,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191020,2019-10-20,27.536435063680017,"{""type"":""MultiPoint"",""coordinates"":[]}"
