system:index,date,soil_temp,.geo
20190305,2019-03-05,28.67739830017092,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190306,2019-03-06,28.97203661600753,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190307,2019-03-07,29.022067642211937,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190308,2019-03-08,28.82013854980471,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190309,2019-03-09,28.77600250244143,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190310,2019-03-10,28.119995371500693,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190311,2019-03-11,28.15262692769369,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190312,2019-03-12,28.577177937825525,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190313,2019-03-13,28.652792867024743,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190314,2019-03-14,28.56000162760421,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190315,2019-03-15,28.81110534667971,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190316,2019-03-16,28.933986918131552,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190317,2019-03-17,29.51118176778158,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190318,2019-03-18,29.453819529215536,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190319,2019-03-19,29.68140818277999,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190320,2019-03-20,29.114449437459314,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190321,2019-03-21,28.373919423421228,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190322,2019-03-22,28.940267817179404,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190323,2019-03-23,28.946696853637718,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190324,2019-03-24,28.889799372355185,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190325,2019-03-25,28.293636576334677,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190326,2019-03-26,28.59372482299807,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190327,2019-03-27,28.22778155008956,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190328,2019-03-28,28.477866109212243,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190329,2019-03-29,28.68124351501467,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190330,2019-03-30,29.191774622599326,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190331,2019-03-31,28.891004180908226,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190401,2019-04-01,27.48393847147628,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190402,2019-04-02,27.79349797566732,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190403,2019-04-03,27.118232981363974,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190404,2019-04-04,28.120027160644554,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190405,2019-04-05,27.731359736124716,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190406,2019-04-06,28.441103871663415,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190407,2019-04-07,28.689004516601585,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190408,2019-04-08,28.74422734578451,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190409,2019-04-09,28.597093836466513,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190410,2019-04-10,28.565930938720726,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190411,2019-04-11,28.814680353800497,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190412,2019-04-12,28.394581731160486,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190413,2019-04-13,28.70936228434249,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190414,2019-04-14,28.251798884073935,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190415,2019-04-15,28.58064231872561,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190416,2019-04-16,28.416129684448265,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190417,2019-04-17,28.5679921468099,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190418,2019-04-18,28.71379750569662,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190419,2019-04-19,28.910256958007835,"{""type"":""MultiPoint"",""coordinates"":[]}"
