system:index,date,.geo
20201015T065437_20201015T073700,2020-10-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201016T063437_20201016T071825,2020-10-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201017T061437_20201017T070020,2020-10-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201018T055437_20201018T064149,2020-10-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201018T073437_20201018T082030,2020-10-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201019T053937_20201019T062227,2020-10-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201019T071437_20201019T080111,2020-10-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201019T071937_20201019T080159,2020-10-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201020T065937_20201020T074408,2020-10-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201021T063937_20201021T072535,2020-10-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201022T061937_20201022T070818,2020-10-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201023T055839_20201023T064441,2020-10-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201023T060339_20201023T064613,2020-10-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201024T054339_20201024T062822,2020-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201024T072339_20201024T080700,2020-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201025T070339_20201025T074945,2020-10-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201026T064339_20201026T072912,2020-10-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201026T064839_20201026T073056,2020-10-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201027T062839_20201027T071312,2020-10-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201028T060839_20201028T065303,2020-10-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201029T054839_20201029T063624,2020-10-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201029T072839_20201029T081510,2020-10-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201030T070839_20201030T075437,2020-10-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201030T071339_20201030T075627,2020-10-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201031T065339_20201031T073802,2020-10-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201101T063339_20201101T071746,2020-11-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201102T061339_20201102T070230,2020-11-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201103T055339_20201103T064110,2020-11-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201103T055839_20201103T064221,2020-11-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201103T073339_20201103T081957,2020-11-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201104T053839_20201104T062235,2020-11-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201104T071839_20201104T080132,2020-11-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
