date,ndvi,gndvi,no2,soil_moisture,soil_temp,day,month,year,growing_season,yield
2019-03-05,0.1061454791599831,0.0659328604425554,6.12631867563446e-05,0.3055102030436198,28.67739830017092,5,3,2019,1,0.0
2019-03-10,0.1206223458710652,0.0476838498516079,8.597146112275078e-05,0.3438212076822917,28.119995371500693,10,3,2019,1,0.0
2019-03-15,0.3904837392760462,0.3727475747802979,6.524364994242864e-05,0.3282934824625651,28.81110534667971,15,3,2019,1,0.0
2019-03-20,0.4164621488685628,0.3591879838228048,7.168890829841053e-05,0.2859986623128255,29.11444943745932,20,3,2019,1,0.0
2019-03-25,0.5417909899499027,0.4693569322509821,6.432683738275434e-05,0.3849156697591145,28.29363657633468,25,3,2019,1,0.0
2019-03-30,0.4504571085452847,0.3602137178964562,5.355703948057531e-05,0.3048197428385417,29.19177462259933,30,3,2019,1,0.0
2019-04-04,0.6669747872830843,0.5599379769511461,5.486572359504727e-05,0.4163468678792317,28.12002716064456,4,4,2019,1,0.0
2019-04-09,0.5285976953975206,0.4464316037041612,7.167041899293251e-05,0.3585758209228515,28.59709383646652,9,4,2019,1,0.0
2019-04-14,0.4086813956085297,0.3385498551097677,7.445528278334636e-05,0.3968270619710286,28.25179888407393,14,4,2019,1,0.0
2019-04-19,0.5737184551446619,0.4810017012828128,7.335665741359045e-05,0.3755594889322917,28.910256958007835,19,4,2019,1,0.0
2019-04-24,0.6572053133088032,0.5627903336810862,5.2249640529391226e-05,0.4191570281982422,28.53914604187014,24,4,2019,1,0.0
2019-04-29,0.7026131270664414,0.606499142562613,4.475683208732083e-05,0.364993413289388,29.19987258911135,29,4,2019,1,0.0
2019-05-04,0.778312682736452,0.6840393899151759,5.1611500986087126e-05,0.3836962381998698,28.79682884216311,4,5,2019,1,0.0
2019-05-09,0.7433477884069848,0.6486231353423033,3.954540853286262e-05,0.3721911112467448,27.963482793172204,9,5,2019,1,0.0
2019-05-14,0.7307789336653958,0.6349773284411079,6.885400612950397e-05,0.3808911641438802,28.546461359659872,14,5,2019,1,0.0
2019-05-19,0.5993580148629231,0.5162464163379177,6.136896355202936e-05,0.3772322336832682,28.23248697916671,19,5,2019,1,0.0
2019-05-24,0.5247993220378696,0.447354567236988,8.94238269814165e-05,0.4080187479654948,28.30096143086752,24,5,2019,1,20686.4
2019-09-06,0.3033910938872425,0.2933132960094988,4.951508623778699e-05,0.2140541076660156,30.20932540893557,6,9,2019,2,0.0
2019-09-11,0.0975241445081682,0.0052462177599873,0.0001309963841688,0.216714859008789,30.09283790588381,11,9,2019,2,0.0
2019-09-16,0.1936940365799652,0.1034375239032855,7.861098060727052e-05,0.2190914154052734,28.991042073567712,16,9,2019,2,0.0
2019-09-21,0.1604021108549115,0.0541927210088963,6.352201752187275e-05,0.2545121510823567,29.41181081136068,21,9,2019,2,0.0
2019-09-26,0.382418964401349,0.28379587795322,5.2227983801444335e-05,0.3513329823811849,28.31981430053713,26,9,2019,2,0.0
2019-10-01,0.5797696434831827,0.4760462324842593,6.134257388049686e-05,0.3506100972493489,28.048804855346702,1,10,2019,2,0.0
2019-10-06,0.3595509288592732,0.2875734920482176,6.14208477387151e-05,0.3728046417236328,27.59402173360189,6,10,2019,2,0.0
2019-10-11,0.6315104307548173,0.5203298017802498,6.596114777352931e-05,0.3971373240152995,27.635372416178427,11,10,2019,2,0.0
2019-10-16,0.7249772335818904,0.6283755819123389,7.131393096846139e-05,0.407284418741862,27.96354446411135,16,10,2019,2,0.0
2019-10-21,0.3357977794626194,0.2732857977847137,4.035586108309213e-05,0.4356873830159505,27.19226608276369,21,10,2019,2,0.0
2019-10-26,0.7257809071064624,0.624297910793224,8.296422223525957e-05,0.4399903615315755,27.136003748575888,26,10,2019,2,0.0
2019-10-31,0.7279295825801896,0.6320486634773727,4.919082441097723e-05,0.4321804046630859,27.14233741760256,31,10,2019,2,0.0
2019-11-05,0.6032132243339563,0.5189890437394222,4.951451046508737e-05,0.3975868225097656,27.847596104939782,5,11,2019,2,0.0
2019-11-10,0.3499891501491257,0.2888474910540243,4.151933227979193e-05,0.440548578898112,27.191463724772177,10,11,2019,2,0.0
