date,gndvi
2019-03-05,0.0165878787954077
2019-03-05,0.06593286044255545
2019-03-10,0.1152778420897032
2019-03-10,0.0476838498516079
2019-03-15,0.3856998813519007
2019-03-15,0.3727475747802979
2019-03-20,0.406378411466008
2019-03-20,0.3591879838228048
2019-03-25,0.4959652695082098
2019-03-25,0.4693569322509821
2019-03-30,0.4236764159255322
2019-03-30,0.3602137178964562
2019-04-04,0.5658575979391033
2019-04-04,0.5599379769511461
2019-04-09,0.5031847903276536
2019-04-09,0.44643160370416124
2019-04-14,0.3896784170806688
2019-04-14,0.3385498551097677
2019-04-19,0.4950327863351099
2019-04-19,0.4810017012828128
2019-04-24,0.5218960174819495
2019-04-24,0.5627903336810862
2019-04-29,0.603684649880223
2019-04-29,0.606499142562613
2019-05-04,0.6780807248596509
2019-05-04,0.6840393899151759
2019-05-09,0.6663312626287397
2019-05-09,0.6486231353423033
2019-05-14,0.6309150080558671
2019-05-14,0.6349773284411079
2019-05-19,0.5756118723895127
2019-05-19,0.5162464163379177
2019-05-24,0.4568809602863225
2019-05-24,0.447354567236988
2019-09-06,0.3320019709799636
2019-09-06,0.2933132960094988
2019-09-11,0.0549681270571658
2019-09-11,0.0052462177599873
2019-09-16,0.05434187083163644
2019-09-16,0.10343752390328559
2019-09-21,0.1525331769749347
2019-09-21,0.0541927210088963
2019-09-26,0.3343810566902102
2019-09-26,0.28379587795322
2019-10-01,0.5231620710865146
2019-10-01,0.4760462324842593
2019-10-06,0.3584786884907011
2019-10-06,0.2875734920482176
2019-10-11,0.5473121637857751
2019-10-11,0.5203298017802498
2019-10-16,0.6377730317906407
2019-10-16,0.6283755819123389
2019-10-21,0.2827008962599928
2019-10-21,0.2732857977847137
2019-10-26,0.6329203758768923
2019-10-26,0.624297910793224
2019-10-31,0.6149807187103185
2019-10-31,0.6320486634773727
2019-11-05,0.5185781261788138
2019-11-05,0.5189890437394222
2019-11-10,0.40391826739672326
2019-11-10,0.2888474910540243
2019-11-15,0.1737767147113254
2019-11-15,0.1382888725476243
2019-11-20,0.2620413270136449
2019-11-20,0.270657938232353
2020-03-09,0.2210826773344679
2020-03-09,0.1902889431105773
2020-03-14,0.3727464571604089
2020-03-14,0.3578581607365496
2020-03-19,0.38480926363779333
2020-03-19,0.4117603665390371
2020-03-24,0.43871146944028083
2020-03-24,0.4656625723415245
2020-03-29,0.4926136752427683
2020-03-29,0.4575032640673678
2020-04-03,0.45208961309994494
2020-04-03,0.4466759621325221
2020-04-08,0.5213144947192258
2020-04-08,0.5126516028824433
2020-04-13,0.5936017597935146
2020-04-13,0.5804078786769711
2020-04-18,0.5719607837155629
2020-04-18,0.568875755590894
2020-04-18,0.6012113385554761
2020-04-18,0.5933187782685536
2020-04-23,0.5265866187784429
2020-04-23,0.4598544592883322
2020-04-28,0.5032822169425228
2020-04-28,0.5467099745967134
2020-05-03,0.5901377322509042
2020-05-03,0.5394969021877557
2020-05-08,0.536213252376885
2020-05-08,0.5329296025660143
2020-05-13,0.5296459527551436
2020-05-13,0.5263623029442729
2020-05-18,0.5230786531334022
2020-05-18,0.5197950033225316
2020-05-23,0.5165113535116609
2020-05-23,0.5132277037007902
2020-09-05,0.5099440538899195
2020-09-05,0.5066604040790488
2020-09-10,0.5033767542681781
2020-09-10,0.5000931044573074
2020-09-10,0.49680945464643667
2020-09-10,0.49352580483556596
2020-09-15,0.4902421550246953
2020-09-15,0.4869585052138246
2020-09-20,0.4836748554029539
2020-09-20,0.4803912055920832
2020-09-25,0.4771075557812125
2020-09-25,0.47382390597034185
2020-09-30,0.47054025615947115
2020-09-30,0.46725660634860045
2020-10-05,0.46397295653772974
2020-10-05,0.46068930672685904
2020-10-10,0.45740565691598833
2020-10-10,0.4541220071051177
2020-10-15,0.450838357294247
2020-10-15,0.4475547074833763
2020-10-20,0.4442710576725056
2020-10-20,0.44098740786163493
2020-10-25,0.4377037580507642
2020-10-25,0.4344201082398935
2020-10-30,0.4311364584290228
2020-10-30,0.4278528086181521
2020-11-04,0.4245691588072814
2020-11-04,0.4212855089964107
2020-11-09,0.41800185918554006
2020-11-09,0.41471820937466936
2020-11-14,0.41143455956379865
2020-11-14,0.40815090975292795
2020-11-19,0.4048672599420573
2020-11-19,0.4015836101311866
2020-11-24,0.3982999603203159
2020-11-24,0.3950163105094452
2021-03-09,0.3917326606985745
2021-03-09,0.3928149453687738
2021-03-14,0.2542629768768175
2021-03-14,0.2283649898550522
2021-03-24,0.14759186241328903
2021-03-24,0.0668187349715259
2021-03-29,0.20012818074972485
2021-03-29,0.3334376265279238
2021-04-03,0.4667470723061227
2021-04-03,0.4446803671488495
2021-04-08,0.5279577129633053
2021-04-08,0.5204124718809778
2021-04-13,0.5361500677735602
2021-04-13,0.5518876636661426
2021-04-18,0.567625259558725
2021-04-18,0.5550822730119971
2021-04-23,0.5692291485602536
2021-04-23,0.5833760241085102
2021-04-28,0.037468940179674
2021-04-28,0.32569995565782306
2021-05-03,0.6139309711359721
2021-05-03,0.604821879199635
2021-05-08,0.4483165659523764
2021-05-08,0.4188671216313857
2021-05-13,0.4466594676153451
2021-05-13,0.411003098212541
2021-05-18,0.47062567004038874
2021-05-18,0.5302482418682365
2021-05-23,0.5898708136960843
2021-05-23,0.5939683980837612
2021-09-05,0.3035382824702674
2021-09-05,0.3141201423232787
2021-09-10,0.3202231409409746
2021-09-10,0.3043455628545842
2021-09-15,0.3583573103820369
2021-09-15,0.4123690579094895
2021-09-20,0.4663808054369422
2021-09-20,0.467321444112487
2021-09-25,0.3487059608611135
