date,ndvi
2019-03-05,0.036183038360216
2019-03-05,0.1061454791599831
2019-03-10,0.1761079199597502
2019-03-10,0.1206223458710652
2019-03-15,0.4031526055194152
2019-03-15,0.3904837392760462
2019-03-20,0.4470325370278949
2019-03-20,0.4164621488685628
2019-03-25,0.5669525475375737
2019-03-25,0.5417909899499027
2019-03-30,0.5057312060185135
2019-03-30,0.4504571085452847
2019-04-04,0.6718136236578874
2019-04-04,0.6669747872830843
2019-04-09,0.5977862413403024
2019-04-09,0.5285976953975206
2019-04-14,0.4594091494547387
2019-04-14,0.4086813956085297
2019-04-19,0.5825949902665375
2019-04-19,0.5737184551446619
2019-04-24,0.6154618842267325
2019-04-24,0.6572053133088032
2019-04-29,0.6989487423908738
2019-04-29,0.7026131270664414
2019-05-04,0.7713808767564335
2019-05-04,0.778312682736452
2019-05-09,0.7608302355717185
2019-05-09,0.7433477884069848
2019-05-14,0.7258653412422512
2019-05-14,0.7307789336653958
2019-05-19,0.6650684742641595
2019-05-19,0.5993580148629231
2019-05-24,0.5336475554616867
2019-05-24,0.5247993220378696
2019-09-06,0.3284064839278389
2019-09-06,0.3033910938872425
2019-09-11,0.1405337999909253
2019-09-11,0.0975241445081682
2019-09-16,0.14560909054406673
2019-09-16,0.19369403657996528
2019-09-21,0.2417789826158638
2019-09-21,0.1604021108549115
2019-09-26,0.4248395116733756
2019-09-26,0.382418964401349
2019-10-01,0.622896541457227
2019-10-01,0.5797696434831827
2019-10-06,0.4136428417898292
2019-10-06,0.3595509288592732
2019-10-11,0.6556911475432269
2019-10-11,0.6315104307548173
2019-10-16,0.7329505035017714
2019-10-16,0.7249772335818904
2019-10-21,0.3444386376784451
2019-10-21,0.3357977794626194
2019-10-26,0.7318942038564802
2019-10-26,0.7257809071064624
2019-10-31,0.7109193814868726
2019-10-31,0.7279295825801896
2019-11-05,0.6029119783940227
2019-11-05,0.6032132243339563
2019-11-10,0.476601187241541
2019-11-10,0.3499891501491257
2019-11-15,0.2233771130567104
2019-11-15,0.1951032056230327
2019-11-20,0.3539665487089691
2019-11-20,0.3762642206246017
2020-03-09,0.2385612018465814
2020-03-09,0.2058442011427061
2020-03-14,0.4271128881919246
2020-03-14,0.4116432434690103
2020-03-19,0.44546843109812656
2020-03-19,0.47929361872724285
2020-03-24,0.5131188063563591
2020-03-24,0.5469439939854753
2020-03-29,0.5807691816145916
2020-03-29,0.5490020178088736
2020-04-03,0.5358619694169161
2020-04-03,0.5227219210249586
2020-04-08,0.6212023430740827
2020-04-08,0.612006282317087
2020-04-13,0.690922451220021
2020-04-13,0.6794596947424006
2020-04-18,0.6658099016595089
2020-04-18,0.6616797250339138
2020-04-18,0.6891095811522248
2020-04-18,0.6810249076773903
2020-04-23,0.6006241275885159
2020-04-23,0.5202233474996415
2020-04-28,0.5673260140072743
2020-04-28,0.6144286805149071
2020-05-03,0.6615313470225399
2020-05-03,0.6169117759310909
2020-05-08,0.6119413457559368
2020-05-08,0.6069709155807829
2020-05-13,0.6020004854056288
2020-05-13,0.5970300552304747
2020-05-18,0.5920596250553207
2020-05-18,0.5870891948801666
2020-05-23,0.5821187647050126
2020-05-23,0.5771483345298586
2020-09-05,0.5721779043547045
2020-09-05,0.5672074741795504
2020-09-10,0.5622370440043964
2020-09-10,0.5572666138292424
2020-09-10,0.5522961836540883
2020-09-10,0.5473257534789343
2020-09-15,0.5423553233037802
2020-09-15,0.5373848931286261
2020-09-20,0.5324144629534722
2020-09-20,0.5274440327783181
2020-09-25,0.522473602603164
2020-09-25,0.51750317242801
2020-09-30,0.5125327422528559
2020-09-30,0.5075623120777019
2020-10-05,0.5025918819025479
2020-10-05,0.4976214517273938
2020-10-10,0.4926510215522398
2020-10-10,0.48768059137708575
2020-10-15,0.48271016120193166
2020-10-15,0.47773973102677764
2020-10-20,0.4727693008516236
2020-10-20,0.4677988706764695
2020-10-25,0.4628284405013155
2020-10-25,0.45785801032616147
2020-10-30,0.4528875801510074
2020-10-30,0.44791714997585336
2020-11-04,0.44294671980069933
2020-11-04,0.43797628962554525
2020-11-09,0.4330058594503912
2020-11-09,0.4280354292752372
2020-11-14,0.4230649991000831
2020-11-14,0.4180945689249291
2020-11-19,0.41312413874977505
2020-11-19,0.40815370857462097
2020-11-24,0.40318327839946694
2020-11-24,0.3982128482243129
2021-03-09,0.3932424180491588
2021-03-09,0.3974494543829053
2021-03-14,0.290226197476749
2021-03-14,0.2664708981079495
2021-03-24,0.18598134603205685
2021-03-24,0.1054917939561642
2021-03-29,0.24453544125456197
2021-03-29,0.38357908855295975
2021-04-03,0.5226227358513575
2021-04-03,0.5057100660139419
2021-04-08,0.6153992000349833
2021-04-08,0.6087401204905925
2021-04-13,0.6213879510688431
2021-04-13,0.634035781647094
2021-04-18,0.6466836122253447
2021-04-18,0.6380484005834622
2021-04-23,0.6483381116335205
2021-04-23,0.6586278226835788
2021-04-28,0.0688793013789434
2021-04-28,0.3838086858968393
2021-05-03,0.6987380704147352
2021-05-03,0.688705863243666
2021-05-08,0.5326911702711142
2021-05-08,0.5045743863322221
2021-05-13,0.5275692237171344
2021-05-13,0.4993056342020323
2021-05-18,0.5582849442482393
2021-05-18,0.6172642542944462
2021-05-23,0.6762435643406532
2021-05-23,0.6797687126173828
2021-09-05,0.3232231235813925
2021-09-05,0.3344483567012029
2021-09-10,0.3357432441054721
2021-09-10,0.3229971541436783
2021-09-15,0.3902378665364589
2021-09-15,0.4574785789292395
2021-09-20,0.5247192913220201
2021-09-20,0.5220872132621422
2021-09-25,0.391131424929115
