date,soil_moisture
2019-03-05,0.3055102030436198
2019-03-06,0.2685858408610026
2019-03-07,0.2734152475992839
2019-03-08,0.3297379811604817
2019-03-09,0.3083076477050781
2019-03-10,0.3438212076822917
2019-03-11,0.3926467895507812
2019-03-12,0.3683058420817057
2019-03-13,0.3676834106445312
2019-03-14,0.3658262888590495
2019-03-15,0.3282934824625651
2019-03-16,0.2957623799641927
2019-03-17,0.268954594930013
2019-03-18,0.2466723124186197
2019-03-19,0.242837905883789
2019-03-20,0.2859986623128255
2019-03-21,0.3415431976318359
2019-03-22,0.3316637674967448
2019-03-23,0.308966318766276
2019-03-24,0.3354078928629557
2019-03-25,0.3849156697591145
2019-03-26,0.359778086344401
2019-03-27,0.3712062835693359
2019-03-28,0.3480555216471354
2019-03-29,0.3219757080078125
2019-03-30,0.3048197428385417
2019-03-31,0.3338222503662109
2019-04-01,0.3941694895426432
2019-04-02,0.4018262227376302
2019-04-03,0.398480733235677
2019-04-04,0.4163468678792317
2019-04-05,0.4112116495768229
2019-04-06,0.3869647979736328
2019-04-07,0.3646144866943359
2019-04-08,0.3523368835449219
2019-04-09,0.3585758209228515
2019-04-10,0.3475265502929687
2019-04-11,0.3227920532226562
2019-04-12,0.329376220703125
2019-04-13,0.3417797088623047
2019-04-14,0.3968270619710286
2019-04-15,0.3809064229329427
2019-04-16,0.4077873229980469
2019-04-17,0.3906879425048828
2019-04-18,0.381591796875
2019-04-19,0.3755594889322917
2019-04-20,0.405364990234375
2019-04-21,0.3865769704182942
2019-04-22,0.3891429901123047
2019-04-23,0.4175701141357422
2019-04-24,0.4191570281982422
2019-04-25,0.4263013203938802
2019-04-26,0.419705073038737
2019-04-27,0.4243106842041015
2019-04-28,0.3909619649251302
2019-04-29,0.364993413289388
2019-04-30,0.3777847290039062
2019-05-01,0.3643366495768229
2019-05-02,0.3384418487548828
2019-05-03,0.3211148579915364
2019-05-04,0.3836962381998698
2019-05-05,0.3845240275065104
2019-05-06,0.3577423095703125
2019-05-07,0.3415152231852214
2019-05-08,0.3827896118164062
2019-05-09,0.3721911112467448
2019-05-10,0.3499889373779297
2019-05-11,0.3215198516845703
2019-05-12,0.3369700113932292
2019-05-13,0.3822434743245442
2019-05-14,0.3808911641438802
2019-05-15,0.4216550191243489
2019-05-16,0.4137433369954427
2019-05-17,0.4024187723795573
2019-05-18,0.376248041788737
2019-05-19,0.3772322336832682
2019-05-20,0.4037481943766276
2019-05-21,0.4153518676757812
2019-05-22,0.4255472819010417
2019-05-23,0.408975601196289
2019-05-24,0.4080187479654948
2019-09-05,0.2340412139892578
2019-09-06,0.2140541076660156
2019-09-07,0.1970017751057942
2019-09-08,0.212466557820638
2019-09-09,0.2660509745279948
2019-09-10,0.2452405293782552
2019-09-11,0.216714859008789
2019-09-12,0.2069651285807291
2019-09-13,0.2063986460367838
2019-09-14,0.2351913452148437
2019-09-15,0.2216307322184244
2019-09-16,0.2190914154052734
2019-09-17,0.2105566660563151
2019-09-18,0.2116546630859375
2019-09-19,0.2503916422526042
2019-09-20,0.2843456268310547
2019-09-21,0.2545121510823567
2019-09-22,0.2209784189860026
2019-09-23,0.1985836029052734
2019-09-24,0.2236105600992838
2019-09-25,0.3198731740315755
2019-09-26,0.3513329823811849
2019-09-27,0.3319161732991536
2019-09-28,0.3336200714111328
2019-09-29,0.361178716023763
2019-09-30,0.3780873616536458
2019-10-01,0.3506100972493489
2019-10-02,0.3526827494303385
2019-10-03,0.3690560658772786
2019-10-04,0.3440844217936198
2019-10-05,0.3764979044596354
2019-10-06,0.3728046417236328
2019-10-07,0.3845475514729817
2019-10-08,0.3826745351155599
2019-10-09,0.395748774210612
2019-10-10,0.3696581522623698
2019-10-11,0.3971373240152995
2019-10-12,0.4010035196940104
2019-10-13,0.4240131378173828
2019-10-14,0.4161771138509114
2019-10-15,0.4141305287679036
2019-10-16,0.407284418741862
2019-10-17,0.4248263041178385
2019-10-18,0.4290930430094401
2019-10-19,0.4230645497639974
2019-10-20,0.4283593495686849
2019-10-21,0.4356873830159505
2019-10-22,0.4385452270507812
2019-10-23,0.4244715372721354
2019-10-24,0.4047832489013672
2019-10-25,0.4037011464436849
2019-10-26,0.4399903615315755
2019-10-27,0.4403082529703776
2019-10-28,0.4277763366699219
2019-10-29,0.4413134256998698
2019-10-30,0.4420680999755859
2019-10-31,0.4321804046630859
2019-11-01,0.428738276163737
2019-11-02,0.4422295888264974
2019-11-03,0.4301325480143229
2019-11-04,0.4117469787597656
2019-11-05,0.3975868225097656
2019-11-06,0.4133021036783854
2019-11-07,0.4230219523111979
2019-11-08,0.4210968017578125
2019-11-09,0.4339809417724609
2019-11-10,0.440548578898112
2019-11-11,0.4445343017578125
2019-11-12,0.4323298136393229
2019-11-13,0.4379615783691406
2019-11-14,0.4377250671386719
2019-11-15,0.4409255981445312
2019-11-16,0.4313958485921224
2019-11-17,0.4277572631835937
2019-11-18,0.4284311930338542
2019-11-19,0.4343382517496745
2019-11-20,0.4256057739257812
2019-11-21,0.422159194946289
2019-11-22,0.4384098052978515
2019-11-23,0.4420280456542969
2019-11-24,0.4188512166341145
2020-03-05,0.2435423533121744
2020-03-06,0.3052260080973307
2020-03-07,0.3720906575520833
2020-03-08,0.3273817698160807
2020-03-09,0.3012669881184895
2020-03-10,0.2908039093017578
2020-03-11,0.3361186981201172
2020-03-12,0.3471959431966145
2020-03-13,0.3573989868164062
2020-03-14,0.3183638254801432
2020-03-15,0.3216177622477214
2020-03-16,0.3097209930419922
2020-03-17,0.2994848887125651
